ENTIDAD,KEY_benef_loc,KEY_inegi_localidad,best_match
CHIAPAS,chiapas-cintalapa-el milagro,chiapas-cintalapa de figueroa-el milagro,chiapas-cintalapa de figueroa-el milagro
CHIAPAS,chiapas-cintalapa-el milagro,chiapas-cintalapa de figueroa-el milagro,chiapas-cintalapa de figueroa-el milagro
CHIAPAS,chiapas-cintalapa-el milagro,chiapas-cintalapa de figueroa-el milagro,chiapas-cintalapa de figueroa-el milagro
CHIAPAS,chiapas-cintalapa-el milagro,chiapas-cintalapa de figueroa-el milagro,chiapas-cintalapa de figueroa-el milagro
CHIAPAS,chiapas-cintalapa-el milagro,chiapas-cintalapa de figueroa-el milagro,chiapas-cintalapa de figueroa-el milagro
CHIAPAS,chiapas-cintalapa-el milagro,chiapas-cintalapa de figueroa-el milagro,chiapas-cintalapa de figueroa-el milagro
CHIAPAS,chiapas-cintalapa-el milagro,chiapas-cintalapa de figueroa-el milagro,chiapas-cintalapa de figueroa-el milagro
CHIAPAS,chiapas-zinacantan-san antonio,chiapas-zinacantan-zinacantan,chiapas-zinacantan-zinacantan
CHIAPAS,chiapas-ocozocoautla de espinosa-cebadilla de leon (indio zoque),chiapas-ocozocoautla de espinosa-ocozocoautla de espinosa,chiapas-ocozocoautla de espinosa-ocozocoautla de espinosa
CHIAPAS,chiapas-tapachula-la soledad,chiapas-tapachula-canton la soledad,chiapas-tapachula-canton la soledad
CHIAPAS,chiapas-la trinitaria-santa isabel (la gloria),chiapas-la trinitaria-santa isabel la gloria,chiapas-la trinitaria-santa isabel la gloria
CHIAPAS,chiapas-tenejapa-san antonio,chiapas-tenejapa-tenejapa,chiapas-tenejapa-tenejapa
CHIAPAS,chiapas-cintalapa-nuevo jerusalen,chiapas-cintalapa de figueroa-nuevo jerusalen,chiapas-cintalapa de figueroa-nuevo jerusalen
CHIAPAS,chiapas-aldama-tavac,chiapas-aldama-aldama,chiapas-aldama-aldama
CHIAPAS,chiapas-cintalapa-jose castillo tielmans,chiapas-cintalapa de figueroa-jose castillo tielmans,chiapas-cintalapa de figueroa-jose castillo tielmans
CHIAPAS,chiapas-chenalho-guadalupe,chiapas-chenalho-chenalho,chiapas-chenalho-chenalho
CHIAPAS,chiapas-zinacantan-joygel grande,chiapas-zinacantan-joigel grande,chiapas-zinacantan-joigel grande
CHIAPAS,chiapas-pueblo nuevo solistahuacan-la esperanza,chiapas-pueblo nuevo solistahuacan-pueblo nuevo solistahuacan,chiapas-pueblo nuevo solistahuacan-pueblo nuevo solistahuacan
CHIAPAS,chiapas-aldama-tzelej potobtic,chiapas-aldama-tzelejpotobtic,chiapas-aldama-tzelejpotobtic
CHIAPAS,chiapas-cintalapa-san marcos,chiapas-cintalapa de figueroa-san marcos,chiapas-cintalapa de figueroa-san marcos
CHIAPAS,chiapas-cintalapa-el pencil,chiapas-cintalapa de figueroa-el pencil,chiapas-cintalapa de figueroa-el pencil
CHIAPAS,chiapas-tila-agua fria,chiapas-tila-tila,chiapas-tila-tila
CHIAPAS,chiapas-cintalapa-el nuevo eden,chiapas-cintalapa de figueroa-el nuevo eden,chiapas-cintalapa de figueroa-el nuevo eden
CHIAPAS,chiapas-cintalapa-las pinuelas,chiapas-cintalapa de figueroa-las pinuelas,chiapas-cintalapa de figueroa-las pinuelas
CHIAPAS,chiapas-cintalapa-las pinuelas,chiapas-cintalapa de figueroa-las pinuelas,chiapas-cintalapa de figueroa-las pinuelas
CHIAPAS,chiapas-cintalapa-general cardenas,chiapas-cintalapa de figueroa-general cardenas,chiapas-cintalapa de figueroa-general cardenas
CHIAPAS,chiapas-suchiate-la libertad,chiapas-la libertad-la libertad,chiapas-la libertad-la libertad
CHIAPAS,chiapas-comitan de dominguez-buenavista (gracias a dios),chiapas-comitan de dominguez-buenavista gracias a dios,chiapas-comitan de dominguez-buenavista gracias a dios
CHIAPAS,chiapas-pijijiapan-campestre,chiapas-pijijiapan-pijijiapan,chiapas-pijijiapan-pijijiapan
CHIAPAS,chiapas-cintalapa-monte de los olivos (la mona),chiapas-cintalapa de figueroa-monte de los olivos (la mona),chiapas-cintalapa de figueroa-monte de los olivos (la mona)
CHIAPAS,chiapas-cintalapa-guadalupe victoria uno (la herradura),chiapas-cintalapa de figueroa-guadalupe victoria uno (la herradura),chiapas-cintalapa de figueroa-guadalupe victoria uno (la herradura)
CHIAPAS,chiapas-cintalapa-nuevo coyoacan,chiapas-cintalapa de figueroa-nuevo coyoacan,chiapas-cintalapa de figueroa-nuevo coyoacan
CHIAPAS,chiapas-rayon-guadalupe victoria,chiapas-amatan-guadalupe victoria,chiapas-amatan-guadalupe victoria
CHIAPAS,chiapas-ocozocoautla de espinosa-emiliano o. rabasa,chiapas-ocozocoautla de espinosa-ocozocoautla de espinosa,chiapas-ocozocoautla de espinosa-ocozocoautla de espinosa
CHIAPAS,chiapas-benemerito de las americas-benito juarez,chiapas-benemerito de las americas-benemerito de las americas,chiapas-benemerito de las americas-benemerito de las americas
CHIAPAS,chiapas-cintalapa-el sinai,chiapas-cintalapa de figueroa-el sinai,chiapas-cintalapa de figueroa-el sinai
CHIAPAS,chiapas-mapastepec-tres de mayo,chiapas-mapastepec-mapastepec,chiapas-mapastepec-mapastepec
CHIAPAS,chiapas-cintalapa-corazon del valle,chiapas-cintalapa de figueroa-corazon del valle,chiapas-cintalapa de figueroa-corazon del valle
CHIAPAS,chiapas-cintalapa-nuevo mundo,chiapas-cintalapa de figueroa-nuevo mundo,chiapas-cintalapa de figueroa-nuevo mundo
CHIAPAS,chiapas-cintalapa-el capulin,chiapas-cintalapa de figueroa-el capulin,chiapas-cintalapa de figueroa-el capulin
CHIAPAS,chiapas-cintalapa-integral adolfo lopez mateos,chiapas-cintalapa de figueroa-integral adolfo lopez mateos,chiapas-cintalapa de figueroa-integral adolfo lopez mateos
CHIAPAS,chiapas-mapastepec-diez de abril,chiapas-mapastepec-mapastepec,chiapas-mapastepec-mapastepec
CHIAPAS,chiapas-rayon-la soledad,chiapas-rayon-rayon,chiapas-rayon-rayon
CHIAPAS,chiapas-cintalapa-el chichonal,chiapas-cintalapa de figueroa-el chichonal,chiapas-cintalapa de figueroa-el chichonal
CHIAPAS,chiapas-reforma-miguel hidalgo,chiapas-reforma-reforma,chiapas-reforma-reforma
CHIAPAS,chiapas-ixhuatan-el aguacate,chiapas-ixhuatan-ixhuatan,chiapas-ixhuatan-ixhuatan
CHIAPAS,chiapas-cintalapa-juan sabines,chiapas-acacoyagua-emiliano zapata (puerto arturo),chiapas-acacoyagua-emiliano zapata (puerto arturo)
