KEY_benef_loc;match_score;KEY_inegi_localidad
tecpan de galeana-el suchil;100;tecpan de galeana-el suchil
coyuca de benitez-huertecillas;100;coyuca de benitez-huertecillas
acapulco de juarez-la providencia;100;acapulco de juarez-la providencia
zitlala-san marcos de las rosas;100;zitlala-san marcos de las rosas
coahuayutla de jose maria izazaga-lomas blancas;100;coahuayutla de jose maria izazaga-lomas blancas
tecoanapa-san martin;100;tecoanapa-san martin
chilpancingo de los bravo-colonia general heliodoro castillo (chicahuales);100;chilpancingo de los bravo-colonia general heliodoro castillo (chicahuales)
jose joaquin de herrera-oztotitlan;100;jose joaquin de herrera-oztotitlan
acapulco de juarez-kilometro 21;100;acapulco de juarez-kilometro 21
tecpan de galeana-tecpan de galeana;100;tecpan de galeana-tecpan de galeana
tepecoacuilco de trujano-las tunas;100;tepecoacuilco de trujano-las tunas
tlapa de comonfort-ayotzinapa;100;tlapa de comonfort-ayotzinapa
cuajinicuilapa-buenos aires;100;cuajinicuilapa-buenos aires
tecpan de galeana-achotla;100;tecpan de galeana-achotla
acapulco de juarez-xaltianguis;100;acapulco de juarez-xaltianguis
chilapa de alvarez-el paraiso;100;chilapa de alvarez-el paraiso
general heliodoro castillo-amacahuite;100;general heliodoro castillo-amacahuite
atenango del rio-coacan (cocan);100;atenango del rio-coacan (cocan)
acapulco de juarez-agua zarca de la pena;100;acapulco de juarez-agua zarca de la pena
zitlala-teteyitic (tetehitic);100;zitlala-teteyitic (tetehitic)
tecoanapa-pochotillo;100;tecoanapa-pochotillo
quechultenango-colotlipa;100;quechultenango-colotlipa
quechultenango-quechultenango;100;quechultenango-quechultenango
quechultenango-zoyapezco;100;quechultenango-zoyapezco
chilapa de alvarez-xiloxuchican;100;chilapa de alvarez-xiloxuchican
quechultenango-atlitengo;100;quechultenango-atlitengo
eduardo neri-zumpango del rio;100;eduardo neri-zumpango del rio
zitlala-ixcatla;100;zitlala-ixcatla
copanatoyac-santa anita;100;copanatoyac-santa anita
eduardo neri-el palmar;100;eduardo neri-el palmar
zihuatanejo de azueta-la parota;100;zihuatanejo de azueta-la parota
tlalchapa-san jacinto (san jacinto de la palma);100;tlalchapa-san jacinto (san jacinto de la palma)
zihuatanejo de azueta-san ignacio;100;zihuatanejo de azueta-san ignacio
tepecoacuilco de trujano-tepecoacuilco de trujano;100;tepecoacuilco de trujano-tepecoacuilco de trujano
chilapa de alvarez-zompeltepec;100;chilapa de alvarez-zompeltepec
pedro ascencio alquisiras-metlixtapa;100;pedro ascencio alquisiras-metlixtapa
cocula-mohonera;100;cocula-mohonera
chilpancingo de los bravo-jaleaca de catalan;100;chilpancingo de los bravo-jaleaca de catalan
teloloapan-san lorenzo;100;teloloapan-san lorenzo
teloloapan-puerto del vigilante (el filo);100;teloloapan-puerto del vigilante (el filo)
atoyac de alvarez-el eden;100;atoyac de alvarez-el eden
mochitlan-tonalapa;100;mochitlan-tonalapa
pedro ascencio alquisiras-los cuatlix;100;pedro ascencio alquisiras-los cuatlix
ayutla de los libres-carabali grande;100;ayutla de los libres-carabali grande
general heliodoro castillo-chapultepec;100;general heliodoro castillo-chapultepec
jose joaquin de herrera-tlaixcoatipan;100;jose joaquin de herrera-tlaixcoatipan
tecpan de galeana-nuxco;100;tecpan de galeana-nuxco
mochitlan-rancho viejo;100;mochitlan-rancho viejo
pilcaya-piedras negras;100;pilcaya-piedras negras
ayutla de los libres-el timbre;100;ayutla de los libres-el timbre
chilapa de alvarez-atempa;100;chilapa de alvarez-atempa
coyuca de benitez-paso real;100;coyuca de benitez-paso real
general heliodoro castillo-puerto del varal;100;general heliodoro castillo-puerto del varal
acapulco de juarez-acapulco de juarez;100;acapulco de juarez-acapulco de juarez
ayutla de los libres-el rosario;100;ayutla de los libres-el rosario
tepecoacuilco de trujano-palula;100;tepecoacuilco de trujano-palula
san marcos-san marcos;100;san marcos-san marcos
san luis acatlan-san luis acatlan;100;san luis acatlan-san luis acatlan
coahuayutla de jose maria izazaga-santa rosa;100;coahuayutla de jose maria izazaga-santa rosa
coyuca de benitez-el huamuchil;100;coyuca de benitez-el huamuchil
ahuacuotzingo-yupitepec;100;ahuacuotzingo-yupitepec
chilpancingo de los bravo-tlahuizapa;100;chilpancingo de los bravo-tlahuizapa
leonardo bravo-carrizal de bravo;100;leonardo bravo-carrizal de bravo
leonardo bravo-camotla la torre;100;leonardo bravo-camotla la torre
tecpan de galeana-el cerrito;100;tecpan de galeana-el cerrito
marquelia-marquelia;100;marquelia-marquelia
iguala de la independencia-pantla de zapotal;100;iguala de la independencia-pantla de zapotal
taxco de alarcon-taxco el viejo;100;taxco de alarcon-taxco el viejo
pedro ascencio alquisiras-amate amarillo;100;pedro ascencio alquisiras-amate amarillo
cuautepec-el pabellon;100;cuautepec-el pabellon
mochitlan-el salado;100;mochitlan-el salado
olinala-iyocingo (ventanas iyocingo);100;olinala-iyocingo (ventanas iyocingo)
ahuacuotzingo-xocoyolzintla;100;ahuacuotzingo-xocoyolzintla
pedro ascencio alquisiras-salitre chiquito;100;pedro ascencio alquisiras-salitre chiquito
san luis acatlan-piedra ancha;100;san luis acatlan-piedra ancha
atoyac de alvarez-mexcaltepec;100;atoyac de alvarez-mexcaltepec
juan r. escudero-plan de lima;100;juan r. escudero-plan de lima
coyuca de benitez-los nopales;100;coyuca de benitez-los nopales
atenango del rio-atenango del rio;100;atenango del rio-atenango del rio
olinala-ocotitlan;100;olinala-ocotitlan
pedro ascencio alquisiras-tulatengo;100;pedro ascencio alquisiras-tulatengo
jose joaquin de herrera-ixcatla;100;jose joaquin de herrera-ixcatla
martir de cuilapan-xicomulco;100;martir de cuilapan-xicomulco
copanatoyac-oztocingo;100;copanatoyac-oztocingo
zitlala-coacoyul;100;zitlala-coacoyul
ayutla de los libres-apantla;100;ayutla de los libres-apantla
chilpancingo de los bravo-tepechicotlan;100;chilpancingo de los bravo-tepechicotlan
coyuca de benitez-ocotillo;100;coyuca de benitez-ocotillo
ayutla de los libres-la azozuca;100;ayutla de los libres-la azozuca
tecpan de galeana-campestre rosas [balneario];100;tecpan de galeana-campestre rosas [balneario]
tecpan de galeana-canada de la remonta (la canada);100;tecpan de galeana-canada de la remonta (la canada)
ayutla de los libres-cotzalzin;100;ayutla de los libres-cotzalzin
tecpan de galeana-el callado;100;tecpan de galeana-el callado
tecpan de galeana-la palma de cayaco (la cayaca);100;tecpan de galeana-la palma de cayaco (la cayaca)
iguala de la independencia-iguala de la independencia;100;iguala de la independencia-iguala de la independencia
coyuca de benitez-las lomas;100;coyuca de benitez-las lomas
